altitude,velocity_smooth,time,heartrate,grade_smooth,distance,lat,lng,activity_id
7.6,0.0,0,101,-9.2,0.0,41.315687,2.093146,18545713431
7.6,1.633,2,101,-12.2,3.3,41.315679,2.093145,18545713431
7.0,2.178,3,101,-11.7,6.5,41.315671,2.093144,18545713431
6.4,2.45,4,101,-14.0,9.8,41.315663,2.093143,18545713431
6.0,2.74,5,101,-13.5,13.7,41.315642,2.093132,18545713431
5.6,2.933,6,101,-11.4,17.6,41.315634,2.093128,18545713431
5.2,3.313,7,101,-9.4,19.8,41.315603,2.09311,18545713431
5.0,3.107,8,101,-6.1,22.1,41.315589,2.093104,18545713431
5.0,2.9,9,101,-3.6,24.3,41.315576,2.093097,18545713431
4.8,2.77,10,101,-2.3,27.6,41.315545,2.093094,18545713431
4.8,2.64,11,101,-1.6,30.8,41.315534,2.093095,18545713431
4.8,2.193,12,102,0.0,30.8,41.315515,2.0931,18545713431
4.8,1.747,13,102,0.0,30.8,41.315497,2.093105,18545713431
4.8,2.04,14,102,0.0,34.5,41.315481,2.09311,18545713431
4.8,1.677,15,103,0.0,35.9,41.315455,2.093116,18545713431
4.8,1.313,16,103,0.0,37.4,41.315444,2.093118,18545713431
4.8,1.6,17,103,0.0,38.8,41.315433,2.09312,18545713431
4.8,2.13,18,103,0.0,41.5,41.315406,2.093119,18545713431
4.8,1.92,19,103,0.0,44.1,41.315397,2.093118,18545713431
4.8,2.013,20,103,0.0,46.0,41.315367,2.093112,18545713431
4.8,2.107,21,103,0.0,47.9,41.315354,2.093109,18545713431
4.8,2.2,22,109,0.0,49.8,41.315342,2.093107,18545713431
4.8,2.15,23,109,0.0,52.2,41.315316,2.093104,18545713431
4.8,2.1,24,109,0.0,54.6,41.315307,2.093103,18545713431
4.8,2.02,25,111,0.0,56.1,41.315279,2.0931,18545713431
4.8,1.94,26,111,0.0,57.6,41.315268,2.093099,18545713431
4.8,1.86,27,111,0.0,59.1,41.315257,2.093098,18545713431
4.8,1.86,28,111,0.0,61.5,41.315233,2.093095,18545713431
4.8,1.86,29,111,0.0,63.9,41.315224,2.093094,18545713431
4.8,1.927,30,111,0.0,65.7,41.315194,2.093091,18545713431
4.8,1.993,31,113,0.0,67.6,41.315182,2.093089,18545713431
4.8,2.06,32,113,0.0,69.4,41.31517,2.093088,18545713431
4.8,2.11,33,113,0.0,72.1,41.315144,2.093084,18545713431
4.8,2.16,34,113,0.0,74.7,41.315135,2.093083,18545713431
4.8,2.1,35,113,1.7,76.2,41.315106,2.093074,18545713431
4.8,2.04,36,113,1.9,77.8,41.315095,2.093071,18545713431
4.8,1.98,37,114,1.7,79.3,41.315083,2.093067,18545713431
5.0,1.777,38,114,1.9,80.9,41.315054,2.093061,18545713431
5.0,1.573,39,114,1.8,82.6,41.315043,2.09306,18545713431
5.0,1.593,40,114,1.8,84.2,41.315032,2.093058,18545713431
5.0,1.757,41,114,0.0,86.6,41.315008,2.093053,18545713431
5.0,1.92,42,115,-1.9,88.9,41.315,2.093052,18545713431
5.0,1.867,43,116,-1.8,90.3,41.314974,2.093046,18545713431
5.0,1.813,44,116,-1.7,91.6,41.314963,2.093043,18545713431
4.8,1.76,45,116,-1.8,93.0,41.314952,2.093041,18545713431
4.8,1.8,46,116,-1.8,95.6,41.314927,2.093037,18545713431
4.8,1.84,47,116,-1.7,98.1,41.314918,2.093036,18545713431
4.8,1.9,48,116,0.0,99.8,41.31489,2.09303,18545713431
4.8,1.96,49,116,0.0,101.4,41.314879,2.093027,18545713431
4.8,2.02,50,121,0.0,103.1,41.314868,2.093024,18545713431
4.8,1.98,51,121,0.0,105.5,41.314841,2.093017,18545713431
4.8,1.94,52,121,1.9,107.8,41.314832,2.093015,18545713431
4.8,2.007,53,121,1.9,109.8,41.314802,2.09301,18545713431
4.8,2.073,54,121,1.9,111.8,41.314789,2.093008,18545713431
5.0,2.14,55,121,1.9,113.8,41.314777,2.093006,18545713431
5.0,2.15,56,126,1.9,116.2,41.31475,2.093001,18545713431
5.0,2.16,57,126,-2.0,118.6,41.314741,2.093,18545713431
5.0,2.107,58,126,-2.2,120.3,41.314713,2.092992,18545713431
5.0,2.053,59,126,-1.8,122.1,41.314701,2.092988,18545713431
4.8,2.0,60,126,-2.0,123.8,41.31469,2.092985,18545713431
4.8,1.853,61,126,-1.8,125.5,41.314661,2.092976,18545713431
4.8,1.707,62,125,-1.7,127.1,41.314649,2.092972,18545713431
4.8,1.693,63,125,0.0,128.8,41.314638,2.092969,18545713431
4.8,1.827,64,125,0.0,131.2,41.314611,2.092964,18545713431
4.8,1.96,65,125,0.0,133.6,41.314602,2.092963,18545713431
4.8,1.947,66,125,0.0,135.2,41.314572,2.092958,18545713431
4.8,1.933,67,125,0.0,136.8,41.31456,2.092956,18545713431
4.8,1.92,68,125,0.0,138.4,41.314548,2.092954,18545713431
4.8,2.06,69,125,0.0,141.5,41.314521,2.092949,18545713431
4.8,2.2,70,126,0.0,144.6,41.314512,2.092948,18545713431
4.8,2.18,71,126,0.0,146.1,41.314484,2.092942,18545713431
4.8,2.16,72,126,0.0,147.6,41.314472,2.09294,18545713431
4.8,2.14,73,125,0.0,149.1,41.314461,2.092938,18545713431
4.8,1.98,74,125,0.0,151.4,41.314436,2.092935,18545713431
4.8,1.82,75,125,0.0,153.7,41.314428,2.092934,18545713431
4.8,1.86,76,125,0.0,155.4,41.3144,2.092931,18545713431
4.8,1.9,77,125,0.0,157.1,41.314389,2.092929,18545713431
4.8,1.94,78,125,0.0,158.8,41.314378,2.092927,18545713431
4.8,1.787,79,125,0.0,160.3,41.31435,2.092922,18545713431
4.8,1.633,80,125,0.0,161.9,41.314338,2.09292,18545713431
4.8,1.6,81,125,0.0,163.4,41.314327,2.092918,18545713431
4.8,1.77,82,123,0.0,166.0,41.314302,2.092914,18545713431
4.8,1.94,83,123,0.0,168.5,41.314293,2.092913,18545713431
4.8,1.933,84,123,0.0,170.0,41.314266,2.092912,18545713431
4.8,1.927,85,123,0.0,171.5,41.314255,2.092911,18545713431
4.8,1.92,86,122,0.0,173.0,41.314244,2.092911,18545713431
4.8,1.88,87,122,0.0,175.4,41.31422,2.092906,18545713431
4.8,1.84,88,122,0.0,177.7,41.314211,2.092905,18545713431
4.8,1.86,89,122,0.0,179.3,41.314183,2.092899,18545713431
4.8,1.88,90,122,1.6,180.9,41.314171,2.092896,18545713431
4.8,1.9,91,122,2.0,182.5,41.31416,2.092893,18545713431
4.8,1.96,92,122,1.7,185.2,41.314136,2.092887,18545713431
5.0,2.02,93,122,1.8,187.8,41.314127,2.092886,18545713431
5.0,1.993,94,122,0.0,189.3,41.314098,2.092883,18545713431
5.0,1.967,95,124,0.0,190.7,41.314086,2.092883,18545713431
5.0,1.94,96,124,-1.9,192.2,41.314074,2.092882,18545713431
4.8,1.99,97,124,-1.9,195.1,41.314048,2.092882,18545713431
4.8,2.04,98,124,-1.9,198.0,41.314039,2.092882,18545713431
4.8,2.08,99,124,0.0,199.7,41.314009,2.092888,18545713431
4.8,2.12,100,124,0.0,201.3,41.313998,2.092891,18545713431
4.8,2.16,101,124,-1.6,203.0,41.313986,2.092895,18545713431
4.8,1.893,102,124,-1.9,204.6,41.31396,2.092913,18545713431
4.8,1.627,103,124,-1.7,206.1,41.313949,2.092922,18545713431
4.8,1.607,104,124,-2.0,207.7,41.313939,2.09293,18545713431
4.6,1.803,105,124,-1.7,210.4,41.313916,2.092947,18545713431
4.6,2.0,106,124,-1.7,213.0,41.313908,2.092952,18545713431
4.6,1.993,107,124,-1.7,214.5,41.313882,2.092965,18545713431
4.6,1.987,108,124,0.0,216.1,41.313872,2.092969,18545713431
4.6,1.98,109,125,0.0,217.6,41.313861,2.092973,18545713431
4.6,1.88,110,125,0.0,219.8,41.313837,2.092976,18545713431
4.6,1.78,111,125,0.0,221.9,41.313828,2.092976,18545713431
4.6,1.82,112,125,0.0,223.6,41.3138,2.092982,18545713431
4.6,1.86,113,125,0.0,225.4,41.313789,2.092986,18545713431
4.6,1.9,114,125,2.0,227.1,41.313778,2.092991,18545713431
4.6,1.97,115,126,2.0,229.6,41.313756,2.093011,18545713431
4.6,2.04,116,126,1.7,232.1,41.313749,2.093019,18545713431
4.8,2.013,117,126,1.6,233.7,41.313729,2.09305,18545713431
4.8,1.987,118,126,1.6,235.3,41.313722,2.093062,18545713431
4.8,1.96,119,126,1.7,236.9,41.313715,2.093075,18545713431
4.8,1.97,120,126,0.0,239.5,41.313704,2.093107,18545713431
4.8,1.98,121,126,0.0,242.0,41.3137,2.093118,18545713431
4.8,2.033,122,126,0.0,243.9,41.313691,2.093157,18545713431
4.8,2.087,123,126,1.7,245.7,41.313687,2.093173,18545713431
4.8,2.14,124,126,1.8,247.6,41.313684,2.093189,18545713431
4.8,1.99,125,126,1.8,249.4,41.313679,2.093229,18545713431
5.0,1.84,126,125,1.7,251.2,41.313678,2.093245,18545713431
5.0,1.827,127,125,1.7,253.0,41.313677,2.093261,18545713431
5.0,1.883,128,125,1.7,255.2,41.313678,2.093297,18545713431
5.0,1.94,129,125,0.0,257.3,41.313679,2.093309,18545713431
5.0,1.953,130,125,0.0,259.2,41.313683,2.093349,18545713431
5.0,1.967,131,125,0.0,261.0,41.313686,2.093364,18545713431
5.0,1.98,132,125,0.0,262.9,41.313688,2.09338,18545713431
5.0,2.07,133,127,0.0,265.5,41.313696,2.093415,18545713431
5.0,2.16,134,127,0.0,268.1,41.313699,2.093426,18545713431
5.0,2.093,135,127,0.0,269.6,41.313711,2.09346,18545713431
5.0,2.027,136,127,0.0,271.2,41.313716,2.093473,18545713431
5.0,1.96,137,127,0.0,272.7,41.313721,2.093487,18545713431
5.0,1.95,138,127,0.0,275.3,41.313733,2.093519,18545713431
5.0,1.94,139,127,0.0,277.8,41.313737,2.09353,18545713431
5.0,1.967,140,127,0.0,279.5,41.313747,2.093565,18545713431
5.0,1.993,141,127,0.0,281.1,41.31375,2.093578,18545713431
5.0,2.02,142,128,0.0,282.8,41.313754,2.093592,18545713431
5.0,2.03,143,128,0.0,285.4,41.313765,2.093623,18545713431
5.0,2.04,144,128,0.0,288.0,41.313769,2.093634,18545713431
5.0,1.987,145,128,0.0,289.4,41.313781,2.093669,18545713431
5.0,1.933,146,128,0.0,290.8,41.313785,2.093682,18545713431
5.0,1.88,147,128,0.0,292.2,41.31379,2.093696,18545713431
5.0,1.733,148,128,0.0,294.1,41.3138,2.093731,18545713431
5.0,1.587,149,128,0.0,295.9,41.313805,2.093746,18545713431
5.0,1.68,150,128,0.0,297.8,41.313809,2.09376,18545713431
5.0,1.83,151,127,0.0,300.0,41.313821,2.093791,18545713431
5.0,1.98,152,127,0.0,302.1,41.313825,2.093801,18545713431
5.0,1.933,153,127,0.0,303.7,41.313839,2.093833,18545713431
5.0,1.887,154,127,0.0,305.4,41.313845,2.093846,18545713431
5.0,1.84,155,127,0.0,307.0,41.31385,2.093859,18545713431
5.0,1.84,156,127,0.0,309.2,41.313862,2.093887,18545713431
5.0,1.84,157,127,0.0,311.3,41.313865,2.093897,18545713431
5.0,1.873,158,127,0.0,313.1,41.313876,2.093932,18545713431
5.0,1.907,159,127,0.0,314.9,41.31388,2.093947,18545713431
5.0,1.94,160,127,0.0,316.7,41.313884,2.093961,18545713431
5.0,2.02,161,127,0.0,319.3,41.313893,2.093992,18545713431
5.0,2.1,162,127,0.0,321.8,41.313896,2.094003,18545713431
5.0,2.053,163,127,1.6,323.4,41.313909,2.094037,18545713431
5.0,2.007,164,127,1.6,324.9,41.313915,2.09405,18545713431
5.0,1.96,165,127,2.0,326.5,41.31392,2.094064,18545713431
5.2,1.98,166,127,1.9,329.2,41.31393,2.094097,18545713431
5.2,2.0,167,127,1.9,331.8,41.313932,2.094108,18545713431
5.2,2.033,168,127,0.0,333.5,41.313942,2.094144,18545713431
5.2,2.067,169,127,-1.7,335.3,41.313947,2.094159,18545713431
5.2,2.1,170,127,-1.7,337.0,41.313951,2.094173,18545713431
5.2,1.57,171,127,-1.6,337.0,41.313958,2.094193,18545713431
5.0,1.04,172,130,-1.9,337.0,41.313965,2.094213,18545713431
5.0,1.493,173,130,-1.9,341.0,41.313972,2.094232,18545713431
5.0,1.617,174,130,0.0,343.4,41.313983,2.09426,18545713431
5.0,1.74,175,130,0.0,345.7,41.313987,2.094269,18545713431
5.0,2.067,176,130,0.0,347.3,41.314,2.094301,18545713431
5.0,2.393,177,131,0.0,349.0,41.314004,2.094313,18545713431
5.0,1.92,178,131,0.0,350.6,41.314009,2.094326,18545713431
5.0,1.9,179,131,0.0,352.9,41.314019,2.094358,18545713431
5.0,1.88,180,131,0.0,355.1,41.314022,2.094369,18545713431
5.0,1.913,181,131,0.0,356.9,41.314034,2.094404,18545713431
5.0,1.947,182,131,0.0,358.7,41.314038,2.094419,18545713431
5.0,1.98,183,133,0.0,360.5,41.314043,2.094433,18545713431
5.0,2.0,184,133,0.0,362.9,41.314054,2.094463,18545713431
5.0,2.02,185,133,0.0,365.2,41.314057,2.094473,18545713431
5.0,1.94,186,133,0.0,366.6,41.314069,2.094506,18545713431
5.0,1.86,187,133,0.0,368.0,41.314073,2.09452,18545713431
5.0,1.78,188,133,0.0,369.4,41.314078,2.094533,18545713431
5.0,1.87,189,133,0.0,372.2,41.31409,2.094563,18545713431
5.0,1.96,190,134,0.0,375.0,41.314094,2.094574,18545713431
5.0,1.96,191,134,0.0,376.4,41.314108,2.094608,18545713431
5.0,1.96,192,134,0.0,377.8,41.314113,2.094622,18545713431
5.0,1.96,193,134,0.0,379.2,41.314119,2.094635,18545713431
5.0,1.74,194,134,0.0,380.9,41.31413,2.094672,18545713431
5.0,1.52,195,134,0.0,382.6,41.314135,2.094687,18545713431
5.0,1.58,196,134,0.0,384.3,41.314139,2.094702,18545713431
5.0,1.92,197,134,0.0,387.4,41.31415,2.094734,18545713431
5.0,2.26,198,134,0.0,390.5,41.314154,2.094746,18545713431
5.0,2.32,199,134,0.0,392.5,41.31417,2.094784,18545713431
5.0,2.38,200,134,0.0,394.5,41.314176,2.094799,18545713431
5.0,2.44,201,134,0.0,396.5,41.314183,2.094814,18545713431
5.0,2.29,202,134,0.0,398.9,41.314197,2.094847,18545713431
5.0,2.14,203,134,0.0,401.2,41.314201,2.094858,18545713431
5.0,2.107,204,134,0.0,403.0,41.314211,2.094897,18545713431
5.0,2.073,205,134,0.0,404.9,41.314215,2.094912,18545713431
5.0,2.04,206,134,0.0,406.7,41.314218,2.094928,18545713431
5.0,2.03,207,134,0.0,409.0,41.314226,2.094961,18545713431
5.0,2.02,208,134,1.7,411.3,41.314229,2.094972,18545713431
5.0,1.993,209,134,1.7,413.0,41.31424,2.095008,18545713431
5.0,1.967,210,134,1.7,414.7,41.314245,2.095022,18545713431
5.2,1.94,211,134,1.8,416.4,41.31425,2.095036,18545713431
5.2,1.92,212,134,1.8,418.6,41.314262,2.095066,18545713431
5.2,1.9,213,134,1.8,420.8,41.314266,2.095076,18545713431
5.2,1.893,214,134,0.0,422.5,41.314279,2.095108,18545713431
5.2,1.887,215,133,0.0,424.1,41.314285,2.095121,18545713431
5.2,1.88,216,133,0.0,425.8,41.31429,2.095134,18545713431
5.2,1.773,217,133,0.0,427.5,41.314303,2.095168,18545713431
5.2,1.667,218,133,0.0,429.1,41.314308,2.095182,18545713431
5.2,1.667,219,133,0.0,430.8,41.314313,2.095196,18545713431
5.2,1.853,220,133,0.0,433.4,41.314325,2.095227,18545713431
5.2,2.04,221,134,0.0,436.0,41.314329,2.095238,18545713431
5.2,2.033,222,134,0.0,437.6,41.314342,2.095272,18545713431
5.2,2.027,223,134,0.0,439.3,41.314348,2.095285,18545713431
5.2,2.02,224,133,0.0,440.9,41.314353,2.095298,18545713431
5.2,2.02,225,133,0.0,443.5,41.314364,2.09533,18545713431
5.2,2.02,226,133,0.0,446.1,41.314367,2.095341,18545713431
5.2,2.02,227,133,0.0,447.7,41.314377,2.095378,18545713431
5.2,2.02,228,133,0.0,449.4,41.314381,2.095393,18545713431
5.2,2.02,229,133,0.0,451.0,41.314386,2.095407,18545713431
5.2,1.99,230,133,0.0,453.5,41.314398,2.095437,18545713431
5.2,1.96,231,133,0.0,455.9,41.314401,2.095447,18545713431
5.2,1.94,232,133,0.0,457.4,41.314413,2.095481,18545713431
5.2,1.92,233,133,0.0,459.0,41.314418,2.095494,18545713431
5.2,1.9,234,134,0.0,460.5,41.314423,2.095508,18545713431
5.2,1.92,235,134,0.0,463.1,41.314434,2.095539,18545713431
5.2,1.94,236,134,0.0,465.6,41.314437,2.09555,18545713431
5.2,1.633,237,134,0.0,465.6,41.314444,2.09557,18545713431
5.2,1.327,238,134,-1.7,465.6,41.314451,2.09559,18545713431
5.2,1.82,239,133,-1.8,469.6,41.314458,2.095608,18545713431
5.2,1.643,240,133,-1.8,471.3,41.314471,2.09564,18545713431
5.2,1.467,241,133,-2.0,472.9,41.314477,2.095652,18545713431
